Boađus: 15 667
» Sii vástidedje : « Mii ba das 	guoská 	midjiide ? #ILL Sem/Hum
Sámi giliin mat leat riikageainnuid bálddas lea veadjemeahttun oaŋŋut lobi bidjat sisavuodjingeainnu vaikko dat 	guoskkaš 	juo dohkkehuvvon geidnui ( viiddiduvvon geavahus ) .
Sámediggi čuovvola min ovddit preassadieđáhusa , mii 	guoská 	čáŋádatbuođđumiidda Biobio-jogas Chiles .
Váikkuhangaskaoapmin proseassas leat koordineren ja ovttasbargu daid orgánaid gaskka maidda 	guoská 	, ja ovddasvástádusa sajusteapmi konkrehta čuovvoleapmái ja doaimmaide . #ILL
Lea dehálaš , ahte plánas leat dakkár doaibmabiddjo-eavttuhusat maid lea vejolaš čađahit 2 - guovtti jagi áigodagas , masa ođasmahttin 	guoská 	.
Ášgiruššansuorggit , mat 	gusket 	Sámi ovddidanfoandda doaibmaguovllu viiddideapmái ja Davvi-Tromssa ja Finnmárkku doaibmabiddjoguovllu viiddideapmái , leat váldojuvvon dál eret doaibmaplánas , geahča 3. kapihttala , stáhtus ja bargui ovddosguvlui .
dain válgabiiriin gos eanadieđalaš doaibmaguovlu ii 	guoskka 	buot boazodoalliide , sáhttá juolludit doarjaga boazodoalu ealáhusdoibmii muđui válgabiires .
Válgabiires 8 Gaska-Tromsa , 	guoská 	doaibmaguovlu sámi álbmogii ráddjejuvvon eanadieđalaš guovllus , ja válgabiires 12 Lullisámeguovlu , guoská doaibmaguovlu sámi álbmogii olles válgabiires .
Válgabiires 8 Gaska-Tromsa , guoská doaibmaguovlu sámi álbmogii ráddjejuvvon eanadieđalaš guovllus , ja válgabiires 12 Lullisámeguovlu , 	guoská 	doaibmaguovlu sámi álbmogii olles válgabiires .
Dáláš ráđđehus árvvoótallá viiddidit lohkanloana geahpedanortnega , mii 	guoská 	Davvi-Tromssa ja Finnmárkku doaibmabidjoguvlui , maiddái guoskat eará guovlluide distriktapolitihkalaš doaibmaguovllus .
Dáláš ráđđehus árvvoótallá viiddidit lohkanloana geahpedanortnega , mii guoská Davvi-Tromssa ja Finnmárkku doaibmabidjoguvlui , maiddái 	guoskat 	eará guovlluide distriktapolitihkalaš doaibmaguovllus .
Erenoamáŋit 	guoská 	dát lotnolasealáhusdoaimma doarjagii árbevirolaš sámi ássanguovlluin , mat gullet Sámi ovddidanfoandda doaibmaguvlui .
Sámi ealáhusráđđi lea čađahan čielggadusbarggu , mii 	guoská 	duoji váikkuhangaskaomiid geavaheapmái ja lea eavttuhan daid ođđasit organiserema ja juogadeami .
Dát bargu lea vuođđun eavttuhussii , mii 	guoská 	ođđa njuolggadusaide duodjeruđaid hálddašeapmái .
Danin ferte ge bidjat johtui doaibmabijuid , mat bohtet buorrin erenoamáŋit nissonolbmuide dán ealáhusas , omd. doaibmabijuid , mat 	gusket 	arktálaš borramušstrategiijaide ja duodjái .
Daid ođđa njuolggadusaid mielde 	guoská 	ealáhus- ja lotnolasortnet olles Sámi ovdánahttinfoandda doaibmaguvlui .
Njuolggadusain rievdaduvvojedje maiddái dienasrájit , ja geaidda ortnet 	guoská 	.
Váikkuhit dan ahte ásahuvvojit doarjjaortnegat gielddaide maidda Sámelága giellanjuolggadusat sáhttet 	guoskat 	áiggi mielde
Diehtojuohkinstrategiijas , mearrideami rájes gitta otnáŋii , lea vuoruhuvvon čuovvovaččat : diehtojuohkinbláđi almmustuhttin jagi 1996 rájes , diehtojuohkinkampánja mii 	guoská 	riddo- ja vuotnaguovlluide 1997 sámediggeválgga oktavuođas , ja ovdabargu sámi diehtojuohkin-bálvalusa ásaheami oktavuođas .
Fuolahit dan , ahte eanaš oassi sámi álbmogis oaŋŋu dieđuid áššiid birra mat 	gusket 	sin juohkebeaivválaš eallimii
Mii 	guoská 	válgakretsii 8 Gaska-Tromsa , guoská doaibmaguovlu sámi álbmogii ráddjejuvvon eanadieđálaš guovllus , ja válgakreatsas 12 Lullisámiguovlu , guoská doaibmaguovlu sámi álbmogii loahppa válgakreatsas .
Mii guoská válgakretsii 8 Gaska-Tromsa , 	guoská 	doaibmaguovlu sámi álbmogii ráddjejuvvon eanadieđálaš guovllus , ja válgakreatsas 12 Lullisámiguovlu , guoská doaibmaguovlu sámi álbmogii loahppa válgakreatsas .
Mii guoská válgakretsii 8 Gaska-Tromsa , guoská doaibmaguovlu sámi álbmogii ráddjejuvvon eanadieđálaš guovllus , ja válgakreatsas 12 Lullisámiguovlu , 	guoská 	doaibmaguovlu sámi álbmogii loahppa válgakreatsas .
Mii 	guoská 	válgakretsii 8 Gaska-Tromsa , guoská doaibmaguovlu sámi álbmogii ráddjejuvvon eanadieđálaš guovllus , ja válgakreatsas 12 Lullisámiguovlu , guoská doaibmaguovlu sámi álbmogii loahppa válgakreatsas .
Mii guoská válgakretsii 8 Gaska-Tromsa , 	guoská 	doaibmaguovlu sámi álbmogii ráddjejuvvon eanadieđálaš guovllus , ja válgakreatsas 12 Lullisámiguovlu , guoská doaibmaguovlu sámi álbmogii loahppa válgakreatsas .
Mii guoská válgakretsii 8 Gaska-Tromsa , guoská doaibmaguovlu sámi álbmogii ráddjejuvvon eanadieđálaš guovllus , ja válgakreatsas 12 Lullisámiguovlu , 	guoská 	doaibmaguovlu sámi álbmogii loahppa válgakreatsas .
Váikkuhangaskaoapmin proseassas leat koordineren ja ovttasbargu daid orgánaid gaskka maidda 	guoská 	, ja ovddasvástádusa sajusteapmi konkrehta čuovvoleapmái ja doaimmaide . #ILL
Lea dehálaš , ahte plánas leat dakkár doaibmabiddjo-eavttuhusat maid lea vejolaš čađahit 2 - guovtti jagi áigodagas , masa ođasmahttin 	guoská 	.
Ášgiruššansuorggit , mat 	gusket 	Sámi ovddidanfoandda doaibmaguovllu viiddideapmái ja Davvi-Tromssa ja Finnmárkku doaibmabiddjoguovllu viiddideapmái , leat váldojuvvon dál eret doaibmaplánas , geahča 3. kapihttala , stáhtus ja bargui ovddosguvlui .
dain válgabiiriin gos eanadieđalaš doaibmaguovlu ii 	guoskka 	buot boazodoalliide , sáhttá juolludit doarjaga boazodoalu ealáhusdoibmii muđui válgabiires .
Válgabiires 8 Gaska-Tromsa , 	guoská 	doaibmaguovlu sámi álbmogii ráddjejuvvon eanadieđalaš guovllus , ja válgabiires 12 Lullisámeguovlu , guoská doaibmaguovlu sámi álbmogii olles válgabiires .
Válgabiires 8 Gaska-Tromsa , guoská doaibmaguovlu sámi álbmogii ráddjejuvvon eanadieđalaš guovllus , ja válgabiires 12 Lullisámeguovlu , 	guoská 	doaibmaguovlu sámi álbmogii olles válgabiires .
Dáláš ráđđehus árvvoótallá viiddidit lohkanloana geahpedanortnega , mii 	guoská 	Davvi-Tromssa ja Finnmárkku doaibmabidjoguvlui , maiddái guoskat eará guovlluide distriktapolitihkalaš doaibmaguovllus .
Dáláš ráđđehus árvvoótallá viiddidit lohkanloana geahpedanortnega , mii guoská Davvi-Tromssa ja Finnmárkku doaibmabidjoguvlui , maiddái 	guoskat 	eará guovlluide distriktapolitihkalaš doaibmaguovllus .
Erenoamáŋit 	guoská 	dát lotnolasealáhusdoaimma doarjagii árbevirolaš sámi ássanguovlluin , mat gullet Sámi ovddidanfoandda doaibmaguvlui .
Sámi ealáhusráđđi lea čađahan čielggadusbarggu , mii 	guoská 	duoji váikkuhangaskaomiid geavaheapmái ja lea eavttuhan daid ođđasit organiserema ja juogadeami .
Dát bargu lea vuođđun eavttuhussii , mii 	guoská 	ođđa njuolggadusaide duodjeruđaid hálddašeapmái .
Danin ferte ge bidjat johtui doaibmabijuid , mat bohtet buorrin erenoamáŋit nissonolbmuide dán ealáhusas , omd. doaibmabijuid , mat 	gusket 	arktálaš borramušstrategiijaide ja duodjái .
Daid ođđa njuolggadusaid mielde 	guoská 	ealáhus- ja lotnolasortnet olles Sámi ovdánahttinfoandda doaibmaguvlui .
Njuolggadusain rievdaduvvojedje maiddái dienasrájit , ja geaidda ortnet 	guoská 	.
Váikkuhit dan ahte ásahuvvojit doarjjaortnegat gielddaide maidda Sámelága giellanjuolggadusat sáhttet 	guoskat 	áiggi mielde
Diehtojuohkinstrategiijas , mearrideami rájes gitta otnáŋii , lea vuoruhuvvon čuovvovaččat : diehtojuohkinbláđi almmustuhttin jagi 1996 rájes , diehtojuohkinkampánja mii 	guoská 	riddo- ja vuotnaguovlluide 1997 sámediggeválgga oktavuođas , ja ovdabargu sámi diehtojuohkin-bálvalusa ásaheami oktavuođas .
Fuolahit dan , ahte eanaš oassi sámi álbmogis oaŋŋu dieđuid áššiid birra mat 	gusket 	sin juohkebeaivválaš eallimii
Ášgiruššamat 	gusket 	váldoáššis fágalaš ovttasbargui Norgga Olgoriika // Gielda- ja regiovdna departemeanttaiguin , sámedikkiiguin ja eará eamiálbmotjoavkkuiguin strategiija ja posišuvnnaid hárrái .
Davviriikkalaš ráđi ektui , erenoamáŋit mii 	guoská 	institušuvnnaid // prošeavttaid ruhtadeapmái Sámis
Resursaášgiruššan 	guoská 	váldoáššis fágalaš ovttasbargui Sámedikki vuollásaš ráđiiguin , dego váldooasálaŋŋan .
doarjjamearrádusaid ráhkadeami bokte , mat 	gusket 	ovttaskas áššiide ja bidjat politihkalaš deattu áigeguovdilis riikkaid eiseválddiid ektui .
Ášgiruššamat 	gusket 	váldoáššis fágalaš ovttasbargui Norgga Olgoriika // Gielda- ja regiovdna departemeanttaiguin , sámedikkiiguin ja eará eamiálbmotjoavkkuiguin strategiija ja posišuvnnaid hárrái .
Davviriikkalaš ráđi ektui , erenoamáŋit mii 	guoská 	institušuvnnaid // prošeavttaid ruhtadeapmái Sámis
Resursaášgiruššan 	guoská 	váldoáššis fágalaš ovttasbargui Sámedikki vuollásaš ráđiiguin , dego váldooasálaŋŋan .
doarjjamearrádusaid ráhkadeami bokte , mat 	gusket 	ovttaskas áššiide ja bidjat politihkalaš deattu áigeguovdilis riikkaid eiseválddiid ektui .
Sámediggi lea positiivvalaš dan bargui mii 	guoská 	sámekonvenšuvdnii viidáseabbot .
Sámediggi lea positiivvalaš dan bargui mii 	guoská 	sámekonvenšuvdnii viidáseabbot .
Dát 	guoská 	Sámedikki ieŋas bargui ja maiddái bargui eará ásahusaid ja orgánaid ektui mat vaikkuhit sámi servodaga ovdáneami .
Čoahkkimiid boađusin evttohuvvojedje mášga čuovvolanprošeavtta , earret eará prošeaktaeavttuhusat mat 	gusket 	duodjái , sámegillii , kulturmuittuide ja diehtojuohkinteknologiijai , ja buohkain ledje sámi nissonat guovddáŋis .
Áššelistui ja áššiide mat meannuduvvojit ovdalisčuoŋŋu § 4 d mielde , eai 	guoskka 	dán paragráfa mearrádusat .
Ovddidit árvalusa Sámedikki dievasčoahkkimii áššiin mat 	gusket 	Sámedikki čoahkkinortnegii , vrd. § 24 vuosttaš lađđasa ja nuppi lađđasa .
Dát ii 	guoskka 	dattetge bargguide maid Sámedikki dievasčoahkkin lea bidjan eará orgánaide .
Sámediggi mearridda sierra čoahkkinortnega gos leat mearrádusat mat 	gusket 	dikki ráđđádallamiidda ja eará doaimmaide .
Dát 	guoská 	maiddái Sámedikki vuollásaš orgánaide .
Dát ii 	guoskka 	dattetge dáidda : vuođđonjuolggadusaid § 2 - 2 ja čoahkkinortnega § 16 čoahkkinjođihangoddi .
Áššelistui ja áššiide mat meannuduvvojit ovdalisčuoŋŋu § 4 d mielde , eai 	guoskka 	dán paragráfa mearrádusat .
Ovddidit árvalusa Sámedikki dievasčoahkkimii áššiin mat 	gusket 	Sámedikki čoahkkinortnegii , vrd. § 24 vuosttaš lađđasa ja nuppi lađđasa .
Dát ii 	guoskka 	dattetge bargguide maid Sámedikki dievasčoahkkin lea bidjan eará orgánaide .
Sámediggi mearridda sierra čoahkkinortnega gos leat mearrádusat mat 	gusket 	dikki ráđđádallamiidda ja eará doaimmaide .
Dát 	guoská 	maiddái Sámedikki vuollásaš orgánaide .
ideapmi 	guoská 	dušše áššái 32/99/32 , eará áššiide ferte eavttuhusaid buktit nugo dábálaččat § 6 , nuppi lađđasa vuođul dii. 16.00 beaivvi ovdal .
Norlándda fylkkamánni lea fámuhuhttán Spjeltfjelldalen ja Fisklausvatn luonddureserváhtaid suodjalannjuolggadusa mii 	guoská 	bivdui beatnagiin .
Sáhttá go Sámediggeráđđi doarjut dan ahte dát láhkaásahus ii galgga 	guoskat 	boazodoalliide geain leat uhccit go ovdamearkka dihte 500 bohcco ?
Sámediggeráđđi lea ožžon guokte gažaldaga mat 	gusket 	1999-2000 boazodoallošiehtadussii .
Dasto čujuha Sámediggi maid ferte vuhtii váldit barggus viidáseabbut go 	guoská 	boazologu heiveheapmái muhtun osiin Finnmárkkus :
Dasto leat servodat- ja kultuvrralaš bealit , ja dilálašvuohta 	guoskkašii 	ollu boazodoalliide ja bearrašii dda .
Dát leat eavttuhusat main fuomášupmi lea divvojuvvon doaibmabijuide maid sáhttá čađahit viehka geahppasit ja maidda eai 	guoskka 	proseassat mat muđui leat jođus .
Mii 	guoská 	láhkaásahussii masa Sámi Válgalihttu čujuha , de oaivvilda Sámediggeráđđi ahte dan vealtameahttumit ferte ráhkadit oasálaččaid gaskasaš šiehtadusa vuođul .
Sámediggi našuvnnalaš orgánan mii 	guoská 	oktavuhtii guovddáš eiseválddiigun lea válljen eará vuogi .
Sámi Válgalihttu jearrá maiddái gažaldaga mii 	guoská 	dasa ahte galgá go láhkaásahus guoskat boazodoalliide , geain leat uhccit go 500 bohcco . #ILL
Sámi Válgalihttu jearrá maiddái gažaldaga mii guoská dasa ahte galgá go láhkaásahus 	guoskat 	boazodoalliide , geain leat uhccit go 500 bohcco .
Sámediggi lea dattetge guorahallan gažaldaga áššis 18/99/18 , mii 	guoská 	ii eaktodáhtolaš njuovvamii , geahča čoahkkingirjji sitáhta bajábealde .
Solli nubbi gažaldat 	guoská 	Sámedikki boahttevaš ruhtaprioriteremiidda gielladoaibmabijuide dáin guovlluin .
Sámi oahpahusráđi jođiheaddji Asbjørg Skådena go dáhtošii sámi oahppoplána 	guoskat 	olles Davvi-Norgii .
Ođastus-97 oktavuođas ja go Sámediggi gieđahalai áššiid mat 	guske 	dán ođastussii , gáibidii Sámediggi ahte ráhkaduvvojit sierra plánat sámi ohppiid oahpahussii .
NRK Sámi Radio lea ge dalle ožžon vejolašvuođaid leat ovddimuččaid searvvis institušuvnnas NRK , mii 	guoská 	digitála sáddenteknologiija geavaheapmái .
Sámediggeráđđi ii sáhte movt ge váikkuhit dasa , mii 	guoská 	apparáhtaid govttolaš haddái .
Gulaskuddancealkámušat mat leat joavdan Justisdepartementii , ja mat 	gusket 	Sámi vuoigatvuođalávdegotti čielggadussii NAČ 1997:4 ( buot gulaskuddancealkámušain sáddejuvvo kopiija Sámedikki joavkkuide ) :
Láhka addá meahccekommišuvdnii válddi duomuin mii 	guoská 	buohkaide , 1 ) leago stáhta gii oamasta eatnamiid vai ii , 2 ) mearridit rájiid stáhta ja eará eatnamiid gaskka mat dasa gusket , ja 3 ) mearridit stáhta eatnamiin geavahanvuoigatvuođa , maiddái buohkaid geavahanvuoigatvuođa , ja jos ovttasge lea , de geas lea geavahanvuoigatvuohta .
Láhka addá meahccekommišuvdnii válddi duomuin mii guoská buohkaide , 1 ) leago stáhta gii oamasta eatnamiid vai ii , 2 ) mearridit rájiid stáhta ja eará eatnamiid gaskka mat dasa 	gusket 	, ja 3 ) mearridit stáhta eatnamiin geavahanvuoigatvuođa , maiddái buohkaid geavahanvuoigatvuođa , ja jos ovttasge lea , de geas lea geavahanvuoigatvuohta .
Eanavuovdinstivra lea rapporttain mii ráhkaduvvui 1996:s buktán deatalaš beali gažaldahkii mii 	guoská 	minerálaohcamii ja - roggamii báikkálaččat Finnmárkkus .
Sámediggi lea oaidnán ahte Sámi vuoigatvuođalávdegoddi hui uhccán lea čielggadan Finnmárkku eatnamiid eaiggáduššanvuoigatvuođa , vaikke vel justa gažaldagat mat 	gusket 	eaiggáduššanvuoigatvuhtii leat guovddážin lávdegotti mandáhtas .
Guovddáš gažaldahkan lea manahivčče go sápmelaččat álbmogin dáid ortnegiid ásahemiin , ja dat 	guoská 	earenoamážit Finnmárkku eanahálddašeami ortnegii , buot boahttevaš buolvvaid vuoigatvuođaid .
Dasto galggašii ásahuvvot bissovaš konsultašuvdna- ja šiehtadanortnet riikka politihkalaš eiseválddiiguin deatalaš áššiin mat 	gusket 	min álbmogii , nugo láhkaválmmastanbarggut mat sáhttet guoskat sámi vuoigatvuođaide .
Dasto galggašii ásahuvvot bissovaš konsultašuvdna- ja šiehtadanortnet riikka politihkalaš eiseválddiiguin deatalaš áššiin mat gusket min álbmogii , nugo láhkaválmmastanbarggut mat sáhttet 	guoskat 	sámi vuoigatvuođaide .
Riikkaidgaskasaš rievttálaš prinsihpaid čađaheapmi , earret eará ILO-konvenšuvnna nr. 169 heivehemiin Norgga lágaide , lea hui deatalaš dán oktavuođas , ja dat 	guoská 	earenoamážit ILO-konvenšuvnna 14. ja 15. artihkkaliidda .
Stáhta geatnegasvuohta ii 	guoskka 	dušše ideálalaš kulturgaskkustemiid suodjaleapmái nugo oahpahus , girjjálašvuohta ja dáidda , muhto maiddái ávnnaslaš kulturvuđđui , vai sápmelaččat oččošedje ekonomalaš ja fysálaš eavttuid maid dárbbašit kultuvrraset sihkk arastimis ja ovddideamis .
Stáhta riektegeatnegasvuohta 	guoská 	sámi kultuvrra ollislaš doaibmabijuide , ja ferte lassin ovttaskas daguid dahje doaibmabijuid árvvoštallamiid maid árvvoštallojuvvot ollislaččat .
Dohkkeheami oktavuođas adnojuvvui vuođđun ahte lea sámi álbmot masa stáhta geatnegsvuođat konvenšuvnna vuođul 	gusket 	.
NOU 1984:18 dadjá ahte sápmelaččat eahpitkeahttá leat etnihkalaš joavku masa 27. artihkkala kultursuodjaleapmi 	guoská 	.
ON-komitéa dadjá dán 	guoskat 	earenoamážit eamiálbmogiidda .
Ii leat veara oppa eahpiditge ahte sámi guovlluid dálá eanavuoigatvuođadilli ii 	guoskka 	dan dillái maid komitéa dás atná vuođđun , namalassii ahte eatnamat leat váldon eamiálbmogiin almmá sin čielga ja eaktudáhtolaš lobi haga .
Sámi vuoigatvuođalávdegoddi lea menddo ollu deattuhan hálddašanortnegiid Finnmárkku eatnamiidda geavatlaš politihkalaš vihkkedallamiid vuođul mat eai čielgasit váldde vuhtii rievttálaš beliid mat 	gusket 	dáid guovlluide .
Sámediggi oaivvilda ahte jos Sámi vuoigavuođalávdegotti čielggadus gieđahallojuvvo dego dábálaš gulaskuddanáššin man vuođul Stuorradiggi dasto dahká mearrádusaidis , de dat 	guoskkašii 	dušše gažaldahkii mo guovddáš vuoigatvuohta galgá hálddašuvvot áiggis áigái , iige ieš guovddáš vuoigatvuhtii .
Dát 	guoská 	dávjá resursariggámus guovlluide stuorra johkagáttiin ja vuotnaguovlluin .
Dat 	guoská 	álgovuorus buot fylkka areálaide — dat mii ovdal gohčoduvvui « stáhta čálekeahtes eanan » .
Sámediggi oaidná ahte oktasaš hálddašanorgánas livčče ollu buorrevuođat , earret eará go 	guoská 	boazodollui , ovttasbargui ja riidduid čoavdimii , ja ahte ortnet mearkkašivččii oktasaš eaiggáduššama .
Báikkálaš hálddašeami ortnet galggašii Sámedikki mielas 	guoskat 	buot ođasmuvvi meahcceriggodagaide .
Dát 	guoská 	earenoamážit riikkaviidosaš organisašuvnnaide mat ovddastit nášuvnnalaš bivdo- ja guolástanberoštumiid , ja mat gitta otnážii dávjá leat badjelgeahččan báikkálaš sámi beroštumiid ja maid oainnuset bokte čájehan ahte duođas dáhttot joatkit ovddeš áiggi vealaheaddji politihka .
Dákkár ortnegat galggašedje 	guoskat 	olles Finnmárkui , ja dasto velá guovlluide Tromssas ja Norlánddas gos lea sámi álbmot .
Dál oaidnit dađibahábut dávjjit ja dávjjit ahte eambbosat ja eambbosat masset iežaset govttolaš oasi guolleresurssain , ja dat 	guoská 	maid ii-sámi álbmogii .
Dát 	guoská 	earenoamážit gielddaide maidda eai nu ollu boazodoallit mávsse vearu , muhto gos dattetge leat guohtoneatnamat bohccuide .
Dát 	guoská 	earret earrá ealáhusa geavahan- ja guohtonguovlluide ja johtolagaide .
Sámi vuoigatvuođalávdegoddi guorahallá galggašii go boazodoalu eará geavahemiide addit seamma suodjaleami go johtolagaide , namalassii galggašii go suodjaleapmi 	guoskat 	buot geavahemiide iige dušše geavahemiide mat adnojuvvojit dárbbašlažžan .
« Eanaháldendoaibmabijuid — maiddái doaibmab ijuid mat 	gusket 	čázádagaide — sáhttá álggahit dušše go eai dagat stuorra vahágiid oktiige geas lea geavahanriekti .
Guođohanvuoigatvuođa berre ráddjet nu ahte 	guoská 	šibihiidda masa dálus lea dálvefuođar .
