Boađus: 1 283
                                

    Administrative texts –
Muhto juos dulka ii vanat njuolggadusaid , massá geavaheaddji álkit luohttámuša ja     geassáda     iežas sisa .  #DE-Ill (refl)
- Guhkkin eret lean veardidan     geassádit     válggas . #SO-Loc (refl)
    Geassádii     eret searvvis #eret+SO-Loc (refl)
Danne loahpas     geassádii     eret searvvis , go su mielas lei miellahttulistu eahpesihkkar ja moivvas . #eret+SO-Loc (refl)
Goahtebeallji KF stivra mii válljejuvvui golbma jagi áigi     geassádii     diimmá čavčča eahpeluohttámušvuođa dihte . #0 (refl)
Ii veardit     geassádit     #0 (refl)
Per-Ivar Henriksen ii leat veardidan     geassádit     jođiheaddjin . #RO-Ess (refl)
- In leat veardidan     geassádit     , muhto lea čielggas ahte sáhtán muhtun áššiin leat inhabiila , lohká Per-Ivar Henriksen . #0 (refl)
Iige son loga iežaset das ballat ahte Guttorm Utsi     geassáda     fas ovdalaš jienasteami válggas , nugo dagai ovddit válggas . #SO-Loc (refl)
Álbmotrievtti olis ferte riikkaidgaskasaš servodat gohččut Israela     geassádit     eret vuollástuvvon guovlluin ja máhccat rájiide maid ON mearridii 1967:s . #eret+SO-Loc (refl)
Guttorm Utsi ges searvá goalmmát háve válgii , oktii lea vuoittahallan ja nuppes lea     geassádan     , goappašat háviid Aslak J. Eira vuostá . #0 (refl)
Ellinor Guttorm Utsi loahpas     geassádii     válggas ovdalaš jienasteami persovnnalaš sivaid geažil . #SO-Loc (refl)
GEASSÁDII : Dá lea Ellinor Guttorm Utsi Rørosas 2004-válggas ovdal     geassáda     . #AG-Nom (refl)
Ellinor Guttorm Utsi searvá goalmmát háve ovdaolbmo válgii , vaikke ovdal lea vuoittahallan ja     geassádan   #0 (refl)   
Aslak J. Eira mielas berrešii NBR nubbejođiheaddji Ellinor Guttorm Utsi fas     geassádit     organisašuvnna ovdaolbmo válggas , go oaivvilda su dušše čuovuhit riidduid viidásat searvvi siskkabeallái . #SO-Loc (refl)
    Geassádii     
Vuosttaš háve vuoittahalai Ellinor Guttorm Utsi ja 2004:s     geassádii     ovdalaš jienasteami riidduid geažil . #SO-Loc (refl)
Orohaga ovdaolmmoš bivdá Boazoodallohálddahusa vea rdidit     geassádit     eret prošeavttas #erte+SO-Loc (refl)
Dál berre Boazodoallohoavda duođalažžat veardidit     geassádit     ovttasbargat dutki Colemaniin , gii lea čájehan badjelgeahččanvuođa midjiide boazodolliide , ávžžuha Porsanger ja čilge : #SO-Loc (refl)
Colman lohká alcces váivin gullat , ahte Čorgaš orohat ávžžuha boazodoallohoavdda oalát     geassádit     dan stuorra bieggamilloprošeavttas , masa dát dutkan galgá leat oassin . #SO-Loc (refl)
Duiskalaš bolddii buot dáluid nuppi máilmmesoađi loahpageahčen     geassádettiin     eret Suomas . #eret+SO-Loc (refl)
Diistaga maiddái bođii ovdán Ságain ahte Statskog ain rassá dego eaiggádivčče Finnmárkku eatnamiid , vaikke leat šaddan     geassádit     eret fylkkas . #eret+SO-Loc (refl)
Oallugat     geassádedje     . #AG-Nom (refl)
Doaibmi presideanta ii lean ikte gullan ahte Saba lea     geassádan     SáB:s ja lonuhan Olgeš bellodahkii . #SO-Loc (refl)
Muhto lávvordaga manai boastut ja Gaup šattai     geassádit     bávččageami dihte , dieđiha Finnmark_Dagblad . #AG-Nom (refl)
Jearaldat de badjána , maid Guovdageainnu ovddeš leansmánni berre dahkat , joatkit iežas doaimmas boazopolitiijan jus ii dubmejuvvo , vai berre go     geassádit     dákkár barggus , mo dal de manaš dáinna áššiin . #SO-Loc (refl)
Finnmárkku filkka hálddahus lea evttohan heaittihit ruhtadoarjaga davvi-Norgga Kulturráđdáii , maŋŋilgo Nordlándda filkkasuohkan lea     geassádan     . #AG-Nom (refl)
Juo diibmá     geassádii     Nordlándda filkkasuohkan davvi-Norgga kulturšiehtadusas mas davvi-Norgga kulturráđđi lea oassi . #SO-Loc (refl)
Dan maŋŋil leat dat golbma filkkasuohkana gulahallan áššis dainnalágiin ahte buohkat     geassádit     ruhtadeamis davvi-Norgga kulturráđi . #SO-Loc (refl)
- Mii vajot     geassádat     eret guovllus jus ležžet guovllus ollu bohccot , muitala son . #eret+SO-Loc (refl)
Sámedikki dárkkistanlávdegotti jođiheaddji Per-Ivar Henriksen ( BB )     geassáda     doaimmastis sivas go Sámediggi lea guorahallamin Davvi Nuorra organisašuvnna prošeaktaváttisvuođaid dalle_go Henriksen lei organisašuvnna jođiheaddji . #SO-Loc (refl)
    Geassáda     Sámedikki dárkkistanlávdegottis #SO-Loc (refl)
Sámedikki dárkkistanlávdegotti jođiheaddji Per-Ivar Henriksen     geassáda     doaimmastis sivas go Sámediggi lea guorahallamin nuoraidorganisašuvnna Davvi Nuorra . #SO-Loc (refl)
Henriksen čállá ahte son     geassáda     lávdegottis danin_go lea dehálaš ahte dárkkistanlávdegoddi lea sorjjatmeahtun ja nu ahte ii čuoza Sámedikki luohtehahttivuhtii . #SO-Loc (refl)
Henriksen deattuha ahte son     geassáda     danin vuoi dárkkistanlávdegotti integritehta ii billašuva . #SO-Loc (refl)
Son namuha maiddái aitto rahppon álbmotmeahci lulli-sámis , maid ruvdnaprinseassa Mette-Marit rabai , mas boazodoallit leat     geassádan     ovttasbarggus , go orrot olgguštuvvon , ja čujuha boazodoalu bures váldán vuostá dutkama . #SO-Loc (refl)
- Ratttát     geassádedje     , ja rattát fallehedje oktanagas ovtta ja ovtta olbmo , ledje dego hárjehallan olbmuid fallehit , dego gumppevalvi , joatká son . #AG-Nom (refl)
Mannan vahkus     geassádii     Sámi Valáštallanlihttu ( SVL ) jođiheaddji Petter Asbjørn Balto Árktalaš dálveriemuid bargguin . #SO-Loc (refl)
Ovddeš eananeaiggát lávii gáibidit ahte olbmot geat ožžot bartasajiid galget hukset dasa , muhto dan dábi heaitihii Statskog ovdalaš šattai finnmárkkulága geažil     geassádit     eret Finnmárkkus . #eret+SO-Loc (refl)
Siiddu ráhkadeaddji     geassáda     eret searvvis #eret+SO-Loc (refl)
Dáiddár ja Websiiddu ráhkadeaddji Rannveig Persen ( govas )     geassáda     Sámi Dáiddariid searvvis , go searvvi jođiheaddji sihkui divrras Webprográmma maid son dagai Sámi Dáddasearvái ( SDS ) ja Sámi Dáiddaguovddážii ( SDG ) . #SO-Loc (refl)
- Dát lea siskáldas stivrra ášši , danin mun in kommentere , muhto mii šallošat go Persen dál     geassáda     mieldelahttun SDS. s. #RO-Ess (refl)
Dál son mielastis čájeha ja     geassáda     SDSs #SO-Loc (refl)
Álggos vuos juo SVL jođiheaddji konto giddemat ja dál ges heargevuoddjit geat áigot     geassádit     eret SVLs . #eret+SO-Loc (refl)
Diakona Liv Berit Carlsen , Metodistagirkus , lea Girku Heahteveahki doaibmi stivrajođiheaddji dan_dihte go Thor Bjarne Bore , gii lea válljejuvvon jođiheaddjin , lea ferten     geassádit     dearvvašvuođa sivaid dihte . #0 (refl)
Diibmá lágiduvvojedje maiddái sullásaš čiekčamat Davvi-Kyprosas ja nu livčče maiddái dánge jagi galgan , muhto de bohte stuorra politihkkálaš váikkuhusat ovdii ja Sápmi     geassádii     dieid Davvi-Kyprosa čiekčamiin . #SO-Loc (refl)
SáB jođiheaddji Deanus , John Trygve Solbakk , loh ká váttisin einostit makkár váikuhusaid buktá bellodahkii go Jánoš lea     geassádan     NSRs . #SO-Loc (refl)
GEASSÁDII : 2007 davviriikkalaš girječálli bálkkašumi sámi evttohas Sigbjørn Skåden     geassádii     SGS evttohanlávdegottis go su girji evttohuvvui . #SO-Loc (refl)
    Geassádii     lávdegottis #SO-Loc (refl)
Girječálli Sigbjørn Skåden     geassádii     Sámegirječálliid ( SGS ) lávdegottis go su diktagirji evttohuvvui davviriikkalaš girjjálašvuođa bálkkašupmái . #SO-Loc (refl)
Go sámi girjelágadusat evttohedje earret_eará Sigbjørn Skåden diktagirjji « Skuovvadeaddji gonagas » , de son     geassádii     SGS lávdegottis mii evttoha Sámi girjjid davviriikkalaš girjjálašvuođa bálkkašupmái . #SO-Loc (refl)
Maiddái Marry Áilu Nieida Somby fertii     geassádit     lávdegottis go su ge girjji ledje evttohan bálkkašupmái , muitala SGS jođiheaddji Paadar Leivo . #SO-Loc (refl)
- Dát lea áibba lunddolaš ahte soai     geassádeigga     , muđui ii livčče šaddan iešheanalaš árvvoštallan , muitala Paadar Leivo . #AG-Nom (refl)
Dan ii dohkkehan Jánoš ja     geassádii     dallánaga NSRas . #SO-Loc (refl)
Iđđes maŋit beaivve beasaimet ge gullat ahte Jánoš Trosten lei     geassádan     NSRs dán sivas . #SO-Loc (refl)
Jođihii lávdegotti ja     geassádii   #0 (refl)   
Son     geassádii     lávdegottis go su girji evttohuvvai . #SO-Loc (refl)
Mannan vahkkoloahpa bođii ge diehtu ahte maiddái Bargiidbellodaga Sámedikki áirras Anders Urheim     geassáda     bellodagas ja ásaha sierra joavkku . #SO-Loc (refl)
Gieskat     geassádii     fas Jánoš Trosten NSRs ja son ge lea dieđihan ahte ásaha sierra joavkku Sámediggái man gohčodan « Čielga Sámijietna » #SO-Loc (refl)
Mannan vuossárgga mearridedje Davvi-Norgga golbma Bb fylkkajođiheaddji , Nordlándda Gunnar Skjelvik , Romssa Bjørn Inge Mo ja Finnmárkku Ingalill Olsen , čoahkkimis ovttajienalaččat evttohit Helga Pedersena válgalávdegoddái go dálá Bb nubbinjođiheaddji , Hill Marta Solberg , lea dieđihan iežas virggistis     geassádit     riikkačoahkkimis cuoŋománu 20.-22. beaivve 2007 . #SO-Loc (refl)
Lágideaddjit leat juo šaddan bidját ovtta joavkku vuordinlistui , jus datte soames joavku     geassáda     . #AG-Nom (refl)
Dáhttu goappašiid     geassádit    #0 (refl) 
Dáinna dovddastusain válddaha Leif Haraldseth , guhte dán vahkus     geassádii     stáhtaráđđin , man unnán son diehtá sápmelaččaid áššiin . #RO-Ess (refl)
Maŋŋel lea Sara Márjá Magga doalahan ahte son lea jođiheaddji , go liigečoahkkimis šattai dušše moivi , iige sáhttán     geassádit     dan geažil . #0 (refl)
    Geassádan     mátki #attr
Son lei mielde Duiska soahteveagas mii     geassádii     ruoššarájás Norgii . #SO-Loc+DE-Ill (refl)
Nymo     geassádan     SáB jođiheaddjin #RO-Ess (refl)
Son áigu hehttet Sámeálbmot Bellodaga háddjaneames , danin son     geassáda     jođiheaddjin . #RO-Ess (refl)
Birger Nymo háliida Sámeálbmot Bellodaga bisuhit čoahkis ja danin     geassádii     ge jođiheaddjin . #RO-Ess (refl)
Mu mielas lea dal áigi čorget dan moivvi , ja sávaldagain ahte sáhttá ávkkuhit , de mun     geassádan     jođiheaddjin . #RO-Ess (refl)
Sii čuoččuhedje Sárá Márjá Magga     geassádan     jođiheaddjin go lei guođđán čoahkkima . #RO-Ess (refl)
SáB siskkobealde leat maŋemus áiggiid beaggán garra riiddut , muhto dál lea Birger Nyno     geassádan     čuoččoheamin ahte son lea rievttes jođiheaddji . #RO-Ess (refl)
Buot riidu vuolgá eanaš das_go Kárášjoga SáB lea oalát     geassádan     eadnesearvvis NSRs ja gilvala Sámedikki válggain earret_eará NSR listtuin . #SO-Loc (refl)
Dát goit mielddisbuktá ahte olles riikkastivra bellodagas ferte     geassádit     ovttamanu . #SO-Loc (refl)
ŠIITÁ : Sárá Márjá Magga čuoččuha son ii leat goassige     geassádan     SáB jođiheaddjin ja šiitá ahte NSRa rivvemin fámu bellodagas . #RO-Ess (refl)
Magga atná ain odne iežas rivttes jođiheaddjin SáBs ja ii loga goassige     geassádan     dán ámmahis , vaikko vel guđii liigeriikačoahkkima Kárášjogas . #SO-Loc (refl)
Son hálidii     geassádit     go jođiheaddji ámmát ii soahpan virggiin maid son FeFos lei ožžon . #AG-Nom (refl)
Muhto jus njabbe beljiid , de gal oažžu das     geassádit     , mojohalla Ámmun Peder . #SO-Loc (refl)
Magga lea Min_Áiggi aviisii máŋgii deattuhan ahte son ii leat goassige     geassádan     jođiheaddjin , muhto botken ja guođđán go fasttes soaibman su ektui bođii muhtun báikkálaš bellodatolbmuin Kárášjoga čoahkkimis . #RO-Ess (refl)
- Sihkar lea ahte mun in     geassát     jođiheaddjin SáBas , lohká Nymo . #RO-Ess (refl)
- Mii fertet vihkedallet galgat go     geassádit     searvvis , áitá dáiddaduojár Petteri Laiti . #SO-Loc (refl)
Dán vuolláičállagis son lei     geassádan     maŋŋelis . #SO-Loc (refl)
ImF     geassádan     eret barnas . #SO-Loc (refl)
Indremisjonsforbund ( ImF )     geassáda     eret ovttasbarggus barnas . #eret-SO-Loc (refl)
De mun     geassádin     das ja lohken mun in daga álgosáni , danne_go ii leat dábálaš ovttaseallimis ja seksualitehta birra sáhka , muhto eará ášši birra , buot fasttimus ášši birra , láhkarihkkuma birra , čilge Risten Ravna Heatta , ain moaráskan . #SO-Loc (refl)
Árvvoštallá     geassádit     girkus #SO-Loc (refl)
Deanu Kulturskuvlla oahpaheaddji ja váhnen Ebba Joks árvvoštallá     geassádit     stáhtagirkus , go Deanu searvegodderáđđi lea virgádan katekehtan báhpá eamida gii ii máhte sámegiela , vaikko lei ohcci geas lei sámegiela ja kultuvrra máhttu . #SO-Loc (refl)
Váhnen áitá     geassádit     girkus #SO-Loc (refl)
Váhnen ja Deanu kulturskuvlla oahpaheaddji , Ebba Joks , áitá     geassádit     stáhtagi rkus go searvegodderáđđi lea virgádan katekehta gii ii máhte sámegiela . #SO-Loc (refl)
Smette lohká maid searvegotti ballat ahte ođđa báhpa guovttos eamidiin     geassádeaba     jus eaba dovdda iežaska bures_boahtin Deanus . #AG-Nom (refl)
( Troanddin SÁ : Liv Inger Somby ) Norgga boazosápmelaččaid Riikkasearvi dáhtui ovttamielalaččat stivrra guorahallat galgá go NBR oalát     geassádit     Sámi Áigečállagis , danin_go áviisa lea maŋimuš áiggiid cuiggodan NBRa ja boazodoalu . #SO-Loc (refl)
Válljejin guhkin govvet ja     geassádin     eret bessensajis dalá maŋŋá . #eret+SO-Loc (refl)
Mannan dálvvi bieđganedje heargegilvvut oalát go stuorra oassi heargevaláštalliin     geassádedje     eret SVL vuogádagas ja ásahedje sierra heargevuodjin lihtu . #eret+SO-Loc
- Mun lean vuohttán ahte olbmot hui dávjá     geassádit     ja vigget čiehkadit go oaivvildit ahte dálkkádatrievdadeamit eai guoskka sidjiide . #AG-Nom (refl)
- Mii     geassádit     eret váttisvuođain go leat juoga mii lea várálaš , nu lea min luondu , oaivvilda dáiddár . #eret+SO-Loc (refl)
Dat dagahii ahte Trosten     geassádii     NSR miellahttun . #RO-Ess (refl)
Beakkálmasat geat ledje boahtimin ,     geassádedje     .  #AG-Nom (refl)
Beakkálmasat     geassádedje     #AG-Nom (refl)
Muitala ahte spábbačiekči Jan Egil Brekke lei boahtimin Kárášjohkii , muhto     geassádii     áigesirdima dihtii . #0 (refl)
Álggos sáhtát áinnas veahá     geassádit     ja áicat , ovdal_go daiguin dagat maidege .
Oaivvilda sámediggeáirras Anders Urheim , gii     geassádii     Bargiidbellodagas ja lea danin friddja áirras . #SO-Loc (refl)
Maiddái Jánoš Trosten ( Čielga sámi jietna ) lea friddja áirras go     geassádii     NSR:as ja son lohká ahte son gal ii seagut iežas dán áššái . #SO-Loc (refl)
oallugat     geassádit     dál oaivegávpogii Limai gávdnan dihte barggu , mii soaitá addit stuorát bálkká go dat smávva eanabihtát maiguin dál ellet . #DE-Ill (refl)
- Sii jávohuvvet ja     geassádit     , muitala Skancke Pedersen . #0 (refl)
Ruhtamoivi organisašuvnnas maid dagahii ahte Per Ivar Henriksen ( Bb )     geassádii     Sámedikki dárkistanlávdegotti jođiheaddjin diibmá go čielggai ahte Sámediggi áiggui guorahallat organisašuvnna ruhtageavaheami . #RO-Ess (refl)
Dan mii oinnimet ovddit válggas , gos easka maŋemus minuvttas čielggai ovttasbargu ja SáB Klemet Erland Hætta beasai sátnejođiheaddjin go Olgeš     geassádii     Gurutbellodaga Anton Dahl bealis . #AG-Nom (refl)
Bargiidbellodat dagai buori válgga Porsáŋggus , ja go BB sátnejođiheaddji evttohas Torkjell Johnsen     geassádii     ovdalaš válgga , de lei čielggas ahte boahtte sátnejođiheaddji Porsáŋggus lea Mona Skanke . #0 (refl)
Gulloi aitto ahte sámediggepresideanta ja Sámediggeráđđi leat     geassádan     . #AG-Nom (refl)
Dan soahpamuša áššemeannudeami oktavuođas dadjui ahte jus Suodjalus goassege     geassádii     guovllus , galggai guovlu máhcahuvvot boazoealáhussii . #SO-Loc (refl)
Sámedikki jotkii ikte ain eahpečielga dili go olles ráđđi     geassádii     Sámedikki doaimmain , go Bargiidbellodat ja NSR eai nagodan soahpat ovttasbargat . #SO-Loc (refl)
Dalle lei čielggas ahte Sámedikki ráđđi boahtá     geassádit     , go presideanta Aili Keskitalo lei beaivvi ovdal čielgasit geažuhan ahte eai boađe joatkit unnit logu stivremis nu ahte áššit šaddet mearriduvvot áššis áššái . #AG-Nom (refl)
Ikte ovdalaš diibmu guovtti bođii diehtu ahte Sámedikki ráđđi     geassáda     . #AG-Nom(refl)
Sámedikkis jotkii gaskavahkku olles moivi go NSR ii nagodan distaga cegget eanetlogu mii dagai ahte ráđđi     geassádii     . #AG-Nom (refl)
- Mus ii lean vejolašvuohta álget cegget ođđa ráđi beaivvi maŋŋel_go lean     geassádan     , dajai Aili Keskitalo . #0 (refl)
Sámedikki jotkii dasto mánnodaga ain eahpečielga dili go olles ráđđi     geassádii     Sámedikki doaimmain , go Bargiidbellodat ja NSR eai nagodan soahpat ovttasbargat . #SO-Loc (refl)
Sámedikkis lea olles moivi dál go NSR ii nagodan ikte cegget eanetlogu mii dagai ahte ráđđi     geassádii     . #AG-Nom (refl)
Juohkehaš gii oassálastá , sáhttá     geassádit     vaikko goas ja nisu sáhttá dahtut iežas dieđuid ja iskosiid sihkojuvvot dassážii_go dieđut almmuhuvvojit . #0 (refl)
Mii áigut maid rámidit NSRa geat loahpalaččat válde mearrádusa ja     geassádedje     go álkkes fálaldagain dušše lei seahki . #0 (refl)
Leat gal dieđusge leamašan muhtinlágan earráneamit , nugo Kárášjogas go Kárášjoga SG     geassádii     eret váldo bellodagas Ballo oainnu geažil . #eret+SO-Loc (refl)
Mannan áigodagas han SáB áirras     geassádii     sihke ovttasbargosoahpamušas , ja SáBas , mas virggálaččat lei soahpamuš BBain . #SO-Loc (refl)
Hállemas-čiekčamiidda ledje 16 dievdujoavkku dieđihuvvon , muhto guovttes     geassádedje     . #0 (refl)
- Mun gáibidan ahte son     geassáda     lávdegotti jođiheaddjin . #RO-Ess (refl)
Don     geassádat     iežat eret it ge hálit beaškkehit oktii earáiguin . #eret (refl)
