Danin báhce sápmelaččat dávjá 	čohkkát 	iežaset guollehivvodagain
Ii ovttasge leat eahpeluohttámuš Inga Manndalii ( SG ) dahje Tormod Bartholdsenii ( H ) go soai 	čohkkába 	ja hálddašeaba oktasašburiid rollaineaskka álbmotválljejuvvon áirrasin fylkkadikkis .
DIHTORSKUVLA : - Dáppe girjerádjosis sáhttet olbmot oažžut bargiin veahki oahpahaladettiin dihtoriin , lohká girjerájusbargi Evy Myhre Hætta , gean askkis 	čohkká 	Inga Birgitte Hætta .
Dás bat mun 	čohkkán 	?
Dás bat mun 	čohkkán 	?
Kárášjoga kulturviessu lei muđui báhkka dievva ja eai buohkat čáhkan sálii ja ollu olbmot fertejedje duhtat 	čohkkát 	kulturviesu kantiinnas .
Sámeministtar Ann-Christin Nykvist gierdá 	čohkkát 	ja gullat oktageardánis gova maid sámit ja akademihkkárat dihtet .
Festivála vuosttaš beaivvi , duorastaga , doalai Mari Boine intimkonsearttaža , mii lei nu bivnnut ahte buohkat eai čáhkan 	čohkkát 	.
Mii geat leat báhcán 	čohkkát 	buot vástitkeahtes gažaldagaiguin ja jurdagiiguin .
Juogo mun 	čohkkážan 	, dahje mun lihkažan bajás , de don dieđát dan , don árvidat mu jurdaga guhkkin juo .
Oadjebas ja luohtehahtti stivrrana duohken 	čohkkái 	son ja vuojihii pasienttaid doaktára lusa ja buohccevissui .
Dál 	čohkká 	son juvlastuolus .
- Dat gii lohká ahte 4-juvllat crossa lea dušše bađa alde 	čohkkát 	ii dieđe man birra hupmá , dadjá beakkán sápmelaš crossvuoddji Jostein Biti .
Biti lea garrasit provoserejuvvon dasa go Kárášjoga bajásšaddanlávdegotti jođiheaddji Ragnhild Vassvik Kalstad čuoččuhii ievttá Ságat aviissas ahte ii leat beare fysalaččat aktiiva 	čohkkát 	4-juvllaga alde .
Son maid dubmehalai máksit 4000,- ruvnno sáhku dahje 	čohkkát 	giddagasas gávcci beaivvi .
Ellen Spein lei ge Guovdageainnu stuimmiin guovddážis ja son 	čohkkái 	guhkimus giddagasas maŋŋá stuimmiid .
- Ledjen TV ovddas 	čohkkáme 	ja lonohallame kanálaid , go oidnen máidnosa , muitala Inger Anne .
Sii eai 	čohkká 	rohkolas gieđaid , muhto veahkehit eaktodáhtolaččat maid beatnagiid biebmat .
Jus oainnát ovttage 	čohkkáme 	bađa alde ii ge bargga maidege , de it máša hárddesteamis .
It nagot 	čohkkát 	jaska ja leat hui sáhkki máŋgga áššái .
Ieš gal in vuolgge geahččat jos árvidan ahte ferten vel oktii moadde diimmu 	čohkkát 	ja giksašuvvat jurdagin ahte manin dán fertejit čájehit .
- Son 	čohkkái 	olles sotnabeaivvi giddagasas dassážii go čielggai , muitala Arvid Næss Kárášjoga Leansmánnekántuvrras .
Ollu ipmašiid gullá go 	čohkkáda 	náhkkegahpiriin !
Sámi prográmmaráđi jođiheaddji 	čohkká 	maid Kringkastingsráđis , mii ságaskuššá ja cealká NRK prográmmadoaimmaid váldolinnjáid birra .
Dan ovddas lea dubmehallan 	čohkkát 	24 beaivvi .
Sus eai lean dađi eambbo kommentárat politiija ráŋggáštusevttohussii , earret ahte son berre oažžut 	čohkkát 	dalle go heive su bargodillái .
Sus leat maiddái guovddáš posišuvnnat iežas bellodagas ja boazodoalu stivrenorgánas main ain 	čohkká 	.
Danne dubme diggi dievddu giddagassii 24 beaivvi 	čohkkát 	.
Sámedikki Nuoraidpolitihkalaš Lávdegotti ovddeš lahttu Sigbjørn Skåden muitala ahte son lei studeanta go 	čohkkái 	lahttun lávdegottis , muhto dalle ii ožžon gal máksot bálkámassima .
Malcolm Dawson ja su eamit 	čohkkába 	juohke jagi olles v a hkkoloahpa ja geahččaba spealuid .
Min fanasvuoddji 	čohkkáda 	visttis lahka fatnasa ja čilge midjiide ahte mii soaitit šaddat idjadit sullos .
Mu mielas lea pubas 	čohkkát 	ja doaivut ahte deaivá siivo , čáppa olbmá geasa liiko , seamma go njuiket ihkku seaivunsujiin Amerihkái dainna doaivagiin ahte grizzly-guovžža oaidná .
Soaitá čáppa suola mu viesus 	čohkkádeame 	.
Dál lea áhkku dieđihan ahte jus su áiggožit ráŋggáštit , de son áinnas vuolgá Čáhcesullo giddagassii 	čohkkát 	.
Ja mu mielas fertejit duodjelávdegottis 	čohkkát 	ieža duojárat , loahpaha Sara .
Goappá ge njihtamis lea bajimuš duopmu 6 jagi giddagasas , nu sáhttá ge kárášjohkalaš dubmejuvvot 12 jagi giddagasas 	čohkkát 	.
Ođđa girjjis duogábealde lea čállán ahte lea vuodjinmašiinnain 	čohkkán 	eallenagi , dál son lea čohkkedan dihtor mašiinna ovddabeallái .
Go ieš skuvla lei nohkan de vel dan maŋŋáge mii 	čohkkáimet 	ohppiiguin ovttas ja guorahalaimet Ođđa Testamentta čállosiid , liturtihka ja dogmatihka .
Biehtár 	čohkká 	juvlastuolus ja ii birge ieš mange láhkai .
Hálidan oaidnit makkár šibitdoalli dahje boazodoalli 	čohkká 	ja vuordá dassá go boraspire speadjagoahta go de han lea beare maŋŋit .
Finnmárkkuopmodahkii leat stuorra hástalusat ja gelddolaš bargamušat boahtteáiggis ja dii , geat 	čohkkábehtet 	Finnmárkkuopmodaga stivrras , lehpet badjelasadet váldán stuorra ovddasvástádusa .
- Dál dohkkejit duojit nugo , 	čohkkán 	duollji duddjon , duodjin duodjeregisttarrii , čilge John Osvald Grønnmo Sámedikki hálddahusas .
- Geahččalin duo muhtin eahkeda 	čohkkát 	olgun dás láhka .
Dajašin nu , sii guđet leat 	čohkkán 	Sámedikkis guhkit go ovtta áigodaga ja eai ge máhte sámegiela , de in jahke sii dáhttot ovddidit sámegiela ja kultuvrra go eai ieža beroš oahppat sámegiela .
Muhto eai leat gal luohkkálanjas dan dihte dárbbašan 	čohkkát 	.
RÁDJI : Son lea lobihis bievlavuodjima garraseamos vuosttaldeaddji , muhto sáhttá goitge 	čohkkát 	njealljejuvllagis lobálaš bievlavuodjin láhtuin .
ja Heaika 	čohkkáda 	alde
Juo , don oainnát riekta , lobihis bievlavuodjima garraseamos vuos ttaldeaddji 	čohkká 	meahccesihkkelis .
Imaštallet movt olmmái gii lea vuosttaldan jitnosepmosit lobihis bievlavuodjima ieš nai 	čohkkáda 	meahccesihkkelis .
Kárášjoga Sámiid Searvi vuođđuduvvui 1959 , ja Máret lei dat nubbi ovdaolmmoš searvvis , ja 	čohkkái 	ovdaolbmostuolus 1962is gitta 1972 rádjái , ja 1991 válljejuvvui son fas ovdaolmmožin go nuorat olbmot eai šat nákcen .
1972-75 	čohkkái 	son gielddastivraáirrasin Sámeálbmot Listta ovddas .
Lassin dán dupmui ferte almmái 	čohkkát 	45 beaivve giddagasas ja máksit 10 duhát ruvnnu sáhku .
Bargiidbellodaga ovddas lea Ronccen-Ánde 	čohkkán 	lahka 20 jagi Kárášjoga gielddas .
Moai fuomášeimme ahte dat gávdnojit eará suohtas vuogit bargat historjjáin go dušše girjjiiguin 	čohkkát 	.
Mikkola lohká iežas ja 10 albmá bivdojoavkku 	čohkkát 	ijaid gárddi lahka gosa eanaš sávzzat dál leat čohkkejuvvon .
Ja lea dan maŋemus golmma jagis 	čohkkán 	rájusgiddagasas oktiibuot badjel 1000 beaivvi .
Sii oaivvildit ahte son dál lea 	čohkkán 	doarvái guhká ja ahte livččii áigi ođasmahttimii .
Ama das gulašii ahte 	čohkkát 	go das , vai guođđit go čoahkkima , dadjá Klemet Amund Eira .
Eamiálbmot stáhtaolmmai gii suige ii leat hárjánan vuosttaš beaŋkkas 	čohkkát 	, muhto gean šadde sihttát sirdilit ovddemussii .
- Dát leat guhkes proseassat njuolggadusaid divvut , muhto mun boađán nu guhká go 	čohkkán 	Sámedikkis vuoruhit ja gozihit dáid gažaladagaid , dadjá Porsanger .
- Dál sáhtán dadjat ahte oarjja guovlluin orru lassánan jeagil , ja 	čohkkáin 	orru unnon jeagil , lohká Johansen .
Su mielas ii sáhte son šat jaska 	čohkkát 	go oaidná man guvlui dáid ruđaid juolludeami digaštallamat leat hállanan , go ieš lea leamaš mielde NBR jođiheaddji ámmahit šiehtadallamin dáid ruđaid boazodollui .
Mii 	čohkkáimet 	ja geahčaimet sutno čáppa ruovttu , muhto min amadajuin oidnui áhkkitvuohta .
Muhto leihan son 	čohkkán 	juo dan ovddabeali Sámekomiteas ja ealjáruššan máŋgga álbmotsearvvis , nugo Sámi Čuvgehussearvvis ja Davviriikkaid Sámiráđis ja sámekonfereanssain .
Govas son 	čohkká 	ovttas eará Suoma sámi sáttagotti lahtuiguin guldaleame rádios ođđasiid jávkan girdi birra , gos ledje eará Suoma sáttagotti lahtut .
Son manná meahccái ja 	čohkká 	muhtin dievás moadde diimmu .
Son manai baicce kafeai ja doppe son 	čohkkái 	ja čilgii buohkaide , ahte go juo dál leat olbmot juohke sajis meahcis , de guovžžaide gal lea áibbas seammá orostalletgo sii Riebanjohskáiddis , Bávdojávregáttis vai Anára márkana lahkosiin .
Govva čájeha ahte válaštallanhállas leat heajos 	čohkkán 	sajit , mat leat menddo lahkka válaštallan bána .
Čohkkán sajit leat menddo lahka čiekčan saji , lei galgat unnimus mehtera vel eret čiekčan sajis , ja ii leat vel nu vuogas 	čohkkát 	das .
Gieldda luohtamušdoaimmain son 	čohkkái 	válgalávdegottis 16 jagi , vearrolávdegottis fas 12 jagi , gieldda alimusstivrras 4 jagi ja gielddaráđđehusas 4 jagi .
Muhtin girddihii herggiin , muhtin beatnagiin , muhtin fas vujii burruin , vierccáin dahje njuorotgálbbiin , muhtin fas 	čohkkái 	gáicca gielkkás .
Kihte-Ándaras manai oktii ruohtabeaivve gaskaija áigge - go kristtalaš máilbmit ođii - muhtin verddiinguin Bielbbajávrre girkošiljui golmma luodda errui 	čohkkát 	ja guldalit mo stálut vudje ja riedjadedje .
Nuba stállu viimmat bođiige ; vuos 	čohkkái 	soahkeoavssis lađasmannun , dasto das luoitádii smáhkkomuora ala , das fas reahpenráigái ja de suovvamuora ala ja viimmat romis áddján njuikii goahtái ja bálkkui ovtta nuppi máná ruitui , vuoššai ja borai sin .
Doppe álbmot 	čohkkái 	beaska beaskkas gitta , ja Aikio-Heaika buolli ginttalat čuvge dego bassi dolat ja Betleheimma násttit , ja ieš báhppage lei coggan badjelii guhkes vilges biktasa , man ovddabealde čuovggai šearradis beaivi ja sealggabealde fas šleađggui golle ruossa .
Muhto de Bávválbeai ´áigge , diekko goalmmat loahppašsotnbeaivve guovllastii beaivi anárlaččaide ja báitii Ohcejoga alimus 	čohkkáide 	, muhto Deanu leahkái dat joavddai easka maŋŋelat .
Ja mátki manná hui bures , itge láittastuva 	čohkkát 	guhkitge mátkkis .
Ja dakkár olmmoš , gii 	čohkká 	ja lohká girjji , dat gal ii ráfehuhte earáid .
Soahkerissis 	čohkká 	bolfe buoidegaccet .
- Gea , áhkku , muhtun 	čohkká 	min boardaga nalde , lohká bártnáš .
D r. art. Jelena Porsaŋger 	čohkkáda 	dál ollu dutkan vejolašvuođaiguin Sámi I nstituhta direktevra kantuvrras .
lea 	čohkkán 	stivračoahkkimis ja huradan
Várra livččii lean vuogas ahte nissonolmmoš livčče 	čohkkán 	njunnožis boahtteáigodagas , maiddái NBRa gierddašii dan .
Vaikko vudjen garrasit , garvvašin bohccuid ja skirvehallen de gáibmi 	čohkkái 	fárus ja logai Aku Ankka ( Vulle Vuojáža ) , ii ballán vaikko sihkkel manai gaskkohagaid čiesa , maŋábeal gullui dušše jorgaleamin duollet dálle siiddu , Beahkká iktá .
Olmmoš beanta jáhkká ahte olles « joavku » lea 	čohkkán 	stivračoahkkimis ja huradan « Go iját guhkkugohtet ...
- Ollu buorre lea dáhpáhuvvan , muhto mii eat sáhte ruossalas gieđaid 	čohkkát 	dan dihke , Jenny cealká ja siđašii eanet ollesolbmopsykiatriija mas olmmošárvu lea guovddážis .
Go váhnenguovttos viimmat gávnnaiga su golbma beaivvi maŋŋil , de son lei 	čohkkáme 	oahpaheddjiiguin tempelis .
Go váhnenguovttos viimmat gávnnaiga su golbma beaivvi maŋŋil , de son lei 	čohkkáme 	oahpaheddjiiguin tempelis .
Go váhnenguovttos viimmat gávnnaiga su golbma beaivvi maŋŋil , de son lei 	čohkkáme 	oahpaheddjiiguin tempelis .
Áššáskuhtton olmmai dubmehalai 45 beaivái giddagassii evttolaččat , maid šaddá 	čohkkát 	jus guovtti jagi geahččalanáiggis fas rihkku lága .
Hammerfeastalaš 	čohkkái 	lávus ja einnostii olbmuid tarotkoarttain , dahje guovllai ja tulkui giehtaguopmira .
Hárjehallanvuodjimus sáhttiba oahpahalli ja mielčuovvu 	čohkkát 	dan seamma skohtera alde .
Jus hárjehalat vuodjit áidojuvvon guovllus dahje hárjehallanšiljus , de ii dárbbaš mielčuovvu 	čohkkát 	seamma skohtera alde dahje atnit gulahallanrusttegiid .
Deanu gielda deattuha ahte ohccis leat juo guokte bartta dálveorohagas , nubbi dušše 12 kilomehtera eret Miennajávrri 	čohkkás 	.
Das gesset áiggi maid olmmái lea 	čohkkán 	rájusgiddagasas .
Dán jagáš gielddaválggat leat boađi boađi , ii leat go dušše oanehis jahkebealli dassái go mii galgat dahkat iežamet demokratiija vuoigatvuođa , nammalassii mearridit guhte galgá 	čohkkát 	gielddastivrras dahje fylkkadikkis .
- Searvegoddi galgá 	čohkkát 	dan bottago teavstta lohká , rávvii bisma olbmuid go čuožžilišgohte girkus .
- Das lea oba vuogas 	čohkkát 	ja dakkár ođđa biila hádja , náhkke seatet , lohká vuoiti .
Ale fal 	čohkká 	nu ahte it bargga maidege .
Orun dego oaidnime su , 	čohkkáme 	suffás ja unna Jostein vel askkis .
Son maid šattai 	čohkkát 	giddagasas 16 jagi .
Dadjat eanaš sin mátkkis manai busses 	čohkkát 	ja várra návddašedje min čáppá luonddu .
Don 	čohkkát 	mu sajis , Pondus !
In sáhte 	čohkkát 	láse lahka .
Son lea silbarávdi ja 	čohkká 	Inuihta Art Council Ráđis .
- Lean mun šaddan 	čohkkát 	moatte háve viinna geažil fánkalis , muitaša Niillás .
- In mun goitoitge leat danin šaddan 	čohkkát 	, ahte livččen geaŋgge sorbmen , dahje lápmen .
- Ferte jearrat boazodolliin geat leat 	čohkkán 	láhkalávdegottis alddiineaset manne sii leat dohkkehan lága .
Muhto dalle gal lei buorre , lohká Johan Mathis Turi , gii 	čohkkái 	boazodoalloláhkaárvalus joavkkus .
Guovdageaidnulaš Inge Mortensen ( 56 ) 	čohkkáda 	biillas Guovdageainnu márkanbáikkis .
- Dat lea čielggas ahte sámegielat oahpaheddjjiid vártnuhis dilli goddá sámegielat oahpaheddjiid movtta , go šaddet jahkeviissaid 	čohkkát 	ja ráhkadit oahpponeavvuid sámegillii , dadjá Berit Anne Gaup .
Girkoverdde ja báhppa Ole Johan 	čohkká 	stuolustis , ja lohká iežas čállin- ja lohkanváttisvuođat leamaš báhpadoaimmas hehttehussan teavttaid logadettiin , ja lohká iežas leat leastadialaš .
Ja de lea nu , ahte , vaikko plána- ja huksenláhka addá boazodollui vuoigatvuođa buktit cealkámušaid suohkaniid areálaplánaid vuostá , de boazodoalli ii leat dakkár dilis ahte sáhttá 	čohkkát 	kantuvrras ja vástidit issoras ollu gulaskuddanáššiid ja álo čuovvut mielde juste makkár areálahálddašeami suohkan lea plánemin .
In gal šat muitte aiddo manin , muhto jurddašan goitotge ahte danin , go bessen eret dábálaš skuvlabeaŋkkas ja ožžon oaidnit stuorát máilmmi , iige doppe dárbbašan 	čohkkát 	nu justa go skuvlaseinniid siste , dadjá Sierge Rasmus .
- Munnos lea issoras somás bargu , dat lea áibbas eará go buvddas 	čohkkát 	ja vuovdit gálvvuid olbmuide , dadjaba vuojadanvávtta gánddaguovttos oktii njálmmiid .
Dan botta go noaidi Poala-Ande 	čohkkái 	giddagasas muhton áittis , de bođii sunddi bálvá ja čuolastii ákšuin oaivái .
Ovttatlágan 	čohkkán 	biillas váibadahttá ja dalle boahtá millii ahte vare dál boađašii muhtin čáppa čáhcegáddi ja buorre bisánanbáiki , masa bisánastit oanehisboddui ja njulgestit čielggi .
Mii fertet maid jáhkkit ahte searvegoddi 	čohkkái 	láhtis girkobotta .
Sámedikkis mis lea parlamentáralaš modealla ja juohkehaš doppe 	čohkká 	iežas posišuvnnas ja leat iežaset doaimmat bellodaga ektui .
Dearvvuođaid sávvet vieljat Jovnna ( gii bálddas 	čohkká 	) Ovllá ja Sámmol Ánde .
Gasku 	čohkká 	Jergul Lemet .
Dasa ahte Guovdageainnu suohkanpolitihkkárat leat geahččalan ovddidit ášši ovdal , muhto eai leat lihkostuvvan lea Johansenis čilgehus , go son lea 	čohkkán 	juo 4 áigodaga fylkkadikkis .
Hans Isak Olsen datte ii imaš go Anders S. Buljo áigu heaittihit dispalávdegotti gos ieš dán áigodagas lea 	čohkkán 	.
Anders S. Buljo 	čohkká 	ieš dán áigodagas dispalávdegottis , ja su mielas ii leat dál skihkka Guovdageainnu suohkana dispajuohkimin .
Son leage dasto okta njealjii nissonolbmos geat galget 	čohkkát 	Guovdageainnus suohkanstivrras .
Olgešbealde 	čohkká 	Ovddádusbellodaga Svein Ole Sandvik , gii ribahii suohkanstivrra saji bellodatustibii Nils Mathis O. Hættai .
Danne lea eahpečielggas joatká go Kjell Sæther , gii lea 20 jagi 	čohkkán 	sátnejođiheaddjin .
Fanasstivrejeaddji Nils Helge 	čohkkáda 	stáđđásit ja bearráigeahččá buot ovdalgo 55 heasttat fanasmohtora muoláda oktan čáhcehevron Latnat- ja Virdnejávrái .
John Edvind Holmestrand , Per Mosebakken ja Nils N. Guttorm 	čohkkába 	og Per i båten
Govas gurot bealde vuodji John Edvind Holmestrand , Per Mosebakken ja Nils N. Guttorm 	čohkkába 	ja Per Østby čuožžu ovdageahčen čuimmiin .
- Soaitá ahte jienasteaddjit jielladit daid geat ovdal leat 	čohkkán 	suohkanstivrras ja eai duosta luoitit sin geat eai leat leamaš mielde ovdal , dadjá Gunn Elisabeth Kristensen .
- In leat ráhkkanan suohkanpolitihkkii , muhto nuppe bealis lea ovdal 	čohkkán 	suohkanstivrras .
- Norggas lea friddjabut oahpahus , ii leat nu streaŋggis go ruovttus muitala Nevzorova Ekaterina Leonodovna gii vázzá 9 luohkás Revda skuvllas ja lohká Ruošša skuvllas galget oahppit 	čohkkát 	jaskadit ja gullat dárkilit maid oahpaheaddji oahpaha .
Kárášjoga gieldda ulbmil várra lei dainna čoavddestit váilevaš várráivuođaid ja fállat nuoraide vejolašvuođa bargat earágo 	čohkkát 	Šilljogievkkana boardaga alde .
, ja erenoamáš dáinna lea ahte dutkit eai 	čohkká 	iežaset kantuvrrain ja dutkka , muhto sii ohccalit skuvllaid gos sii leat veahkit ja bagadallit , čilge Balto .
Olgesbealde 	čohkká 	Ovddádusbellodaga Svein Ole Sandvik , gii ii beassan suohkanstivrii .
Jus leš NSR nu fápmogoikkus ain , de lea sis dát áidna vejolaš vel 	čohkkát 	presideantta virggiin Čielga Sámi Jiena doarjagiin .
Dál 	čohkká 	Bargiidbellodat fápmoposišuvnnas ja galgá álgit boahtteáiggi politihká hápmet ja čađahit , ii dušše cuiggodit mii lea boastut .
Deanuboanda ferte 90 beaivvi giddagasas 	čohkkát 	go dupmehallojuvvui leat nealgudan sávzzaid .
Dál lea almmái dupmehallojuvvon 90 beaivvi giddagasas 	čohkkát 	ja dasa lassin massá son vuoigatvuođa oamastit , geavahit , oastit dahje dikšut ealliid 7 jahkkái .
Stuora bárdni duogimus reŋkkus orui háliideame dadjat : « Manne mii fertet 	čohkkát 	nu guhká ?
Ballá jienasteddjiid 	čohkkát 	ruovttus
- Jus jienasteaddjit eai doarjjo daid stuorimus bellodagaid politihka , de válljejit baicca ruovttus 	čohkkát 	ja eai obage jienas , ballá Trosten .
Earát govas leat Jan Ole Buljo ( 	čohkká 	beavdeguoras ) , gurutravddas Inga J. Eira ( goappašagat Guovddášbellodagas ) , Berit Marie P. Eira ( Johttisápmelaččaid listtus ) , Isak Mathis Buljo ( G uovddášbellodat ) ja Hans Isak Olsen ( Guovdageainnu Dáloniid listtus ) .
Mánát besse 	čohkkát 	politiijabiillas ja háleštit radio bokte politiijabálvváin Lilja Hanseniin .
- Jus mánát sáhtášedje jurddašit ahte eadni dahje áhčči sáhttá mánáid ala vuodjit seavdnjadin , ja šaddat dan sivás giddagasas 	čohkkát 	, de várra livčče álkit mánáide geavahišgoahtit šelggona .
Dahje ollesolbmot sáhtášedje jurddašit , gillešin go mun 	čohkkát 	eallenagi juvlastuolus , dadjá Kárášjoga Leansmánnekantuvrra politiijabálvá , Lilja Hansen .
Dát viđas galget 	čohkkát 	ovdagottis .
Sii háliidivčče earágo dušše speallat , 	čohkkát 	ja guldalit boares skearruid .
, SG ja GB miellahtut Energiija- ja Biraslávdegottis ( EMK ) , gos mun 	čohkkán 	.
Sárá deattuhii ahte Sæther lea iešheanalaččat lokten ruvke- ja minerála áššiid , ja lea unnán jáhkku ahte molsu bálgáid gii lea 20 jagi 	čohkkán 	sátnejođiheaddjiin .
Son muitala ahte sis geat vázzet dan skuvlla , leat dievva soađđásat bađas go eai nagot jaska 	čohkkát 	.
